Births by year and month per place of event city,,,
,,,
BOOK_YEAR,MTH,CITY,COUNT(*)
1917,Feb,HAILEYBURY,6
1917,Feb,HAMILTON,226
1917,Feb,HAMMOND,7
1917,Feb,HAWKESBURY,18
1917,Feb,INGERSOLL,12
1917,Feb,KENORA,11
1917,Feb,KINGSTON,57
1917,Feb,KITCHENER,43
1917,Feb,LANCASTER TWP,12
1917,Feb,LEAMINGTON,7
1917,Feb,LINDSAY,16
1917,Feb,LONDON,84
1917,Feb,LONDON TWP,10
1917,Feb,MATTAWA,9
1917,Feb,MERSEA TWP,6
1917,Feb,MIDLAND,12
1917,Feb,MOORE TWP,6
1917,Feb,MOUNT DENNIS,8
1917,Feb,N DORCHESTER T,7
1917,Feb,NASSAGAWEYA T,6
1917,Feb,NEW LISKEARD,8
1917,Feb,NIAGARA FALLS,22
1917,Feb,NORTH BAY,31
1917,Feb,NOTTAWASAGA TWP,9
1917,Feb,ORILLIA,13
1917,Feb,OSHAWA,26
1917,Feb,OTONABEE TWP,8
1917,Feb,OTTAWA,236
1917,Feb,OWEN SOUND,19
1917,Feb,PARIS,15
1917,Feb,PARRY SOUND,10
1917,Feb,PEMBROKE,22
1917,Feb,PENETANGUISHENE,11
1917,Feb,PERTH,6
1917,Feb,PETERBOROUGH,36
1917,Feb,PICKERING TWP,8
1917,Feb,PICTON,6
1917,Feb,PORT ARTHUR,31
1917,Feb,PORT HOPE,7
1917,Feb,PRESCOTT,6
1917,Feb,PRESTON,13
1917,Feb,RAINY RIVER,6
1917,Feb,REACH TWP,8
1917,Feb,RENFREW,18
1917,Feb,ROCKLAND,18
1917,Feb,S PLANTAGENET T,6
1917,Feb,SANDWICH,9
1917,Feb,SARNIA,24
1917,Feb,SARNIA TWP,8
1917,Feb,SAULT STE MARIE,32
1917,Feb,SIDNEY,6
1917,Feb,SMITHS FALLS,15
1917,Feb,ST CATHARINES,42
1917,Feb,ST THOMAS,36
1917,Feb,STEELTON,13
1917,Feb,STRATFORD,20
1917,Feb,STURGEON FALLS,6
1917,Feb,SUDBURY,36
1917,Feb,SYDENHAM TWP,8
1917,Feb,THOROLD,8
1917,Feb,TIMMINS,19
1917,Feb,TINY TWP,7
1917,Feb,TORONTO,1030
1917,Feb,TOWNSEND,9
1917,Feb,TRENTON,8
1917,Feb,USBORNE TWP,6
1917,Feb,VANKLEEK HILL,6
1917,Feb,WALKERVILLE,12
1917,Feb,WALLACEBURG,16
1917,Feb,WATERLOO,7
1917,Feb,WATERLOO TWP,9
1917,Feb,WEBBWOOD,10
1917,Feb,WELLAND,18
1917,Feb,WELLESLEY TWP,8
1917,Feb,WESTMINSTER T,6
1917,Feb,WHITBY,6
1917,Feb,WIARTON,10
1917,Feb,WINCHESTER TWP,9
1917,Feb,WINDSOR,60
1917,Feb,WOODHOUSE TWP,6
1917,Feb,WOODSTOCK,19
1917,Feb,WOOLWICH TWP,7
1917,Feb,YORK TWP,56
1917,Jan,A,17
1917,Jan,ALEXANDRIA,6
1917,Jan,AMHERSTBURG,10
1917,Jan,ARNPRIOR,10
1917,Jan,ARTEMESIA TWP,7
1917,Jan,AURORA,8
1917,Jan,BARRIE,12
1917,Jan,BARTON TWP,9
1917,Jan,BELLEVILLE,16
1917,Jan,BEVERLY TWP,8
1917,Jan,BINBROOK TWP,7
1917,Jan,BLENHEIM,7
1917,Jan,BLIND RIVER,9
1917,Jan,BRACEBRIDGE,6
1917,Jan,BRANTFORD,64
1917,Jan,BRANTFORD TWP,10
1917,Jan,BRIDGEBURG,6
1917,Jan,BRIGHTON TWP,6
1917,Jan,BROCKVILLE,14
1917,Jan,CAMPBELLFORD,10
1917,Jan,CARLETON PLACE,8
1917,Jan,CASSELMAN,9
1917,Jan,CHATHAM,30
1917,Jan,CHATHAM TWP,7
1917,Jan,CHESLEY TWP,6
1917,Jan,COBALT,28
1917,Jan,COBOURG,9
1917,Jan,COCHRANE,10
1917,Jan,COLEMAN TWP,8
1917,Jan,COLLINGWOOD,22
1917,Jan,CONISTON,10
1917,Jan,COPPERCLIFF TWP,16
1917,Jan,CORNWALL,22
1917,Jan,CORNWALL TWP,11
1917,Jan,CROWLAND,8
1917,Jan,CULROSS TWP,8
1917,Jan,CUMBERLAND TWP,10
1917,Jan,DUNNVILLE,8
1917,Jan,EASTVIEW,11
1917,Jan,ELLICE TWP,6
1917,Jan,EMBRUN,7
1917,Jan,FLAMBOROUGH E,8
1917,Jan,FORD CITY,11
1917,Jan,FORT FRANCES,9
1917,Jan,FORT WILLIAM,62
1917,Jan,GALT,34
1917,Jan,GANANOQUE,6
1917,Jan,GUELPH,37
1917,Jan,GUELPH TWP,7
1917,Jan,HAILEYBURY,9
1917,Jan,HAMILTON,254
1917,Jan,HAWKESBURY,23
1917,Jan,INGERSOLL,15
1917,Jan,KENORA,11
1917,Jan,KINGSTON,54
1917,Jan,KITCHENER,34
1917,Jan,LEAMINGTON,6
1917,Jan,LINDSAY,16
1917,Jan,LONDON,106
1917,Jan,MADOC,6
1917,Jan,MATILDA TWP,10
1917,Jan,MCNAB TWP,6
1917,Jan,MIDLAND,20
1917,Jan,MIMICO,8
1917,Jan,MINTO TWP,7
1917,Jan,MOUNT DENNIS,8
1917,Jan,MULMUR TWP,6
1917,Jan,N DORCHESTER T,8
1917,Jan,N DUMFRIES TWP,6
1917,Jan,NELSON,6
1917,Jan,NIAGARA FALLS,20
1917,Jan,NORTH BAY,33
1917,Jan,NORTH COBALT,7
1917,Jan,NORWICH,6
1917,Jan,NOT RECORDED,7
